,train_loss,train_acc,test_loss,test_acc,f1_score,correct,incorrect
0,0.7790350485266301,0.6995614035087719,0.7210848093032837,0.7604166666666666,0.7440826628938263,334,115
1,0.6291738549868265,0.8026315789473685,0.5985122124354044,0.8229166666666666,0.8140055210993425,364,85
2,0.5625429524664294,0.8464912280701754,0.6090155224005381,0.8291666666666667,0.8181948125788793,367,82
3,0.5145890780708247,0.8706140350877193,0.48094241619110106,0.8895833333333333,0.8846153846153846,396,53
4,0.49242674415571647,0.8788377192982456,0.5808077176411947,0.8416666666666667,0.832026625601085,373,76
5,0.47294184304120246,0.9007675438596491,0.7809261739253998,0.7354166666666667,0.7084640061883629,322,127
6,0.4660359856329466,0.893640350877193,0.6061147451400757,0.8208333333333333,0.8108833608204374,363,86
7,0.445123621246271,0.9205043859649122,0.5347613493601481,0.88125,0.8727333922335815,392,57
8,0.4196876449543133,0.9331140350877193,0.42315818270047506,0.9375,0.9342262903148512,419,30
9,0.4420549451259145,0.9205043859649122,0.49169243772824606,0.9041666666666667,0.8995160109922159,403,46
10,0.39915532135126885,0.9446271929824561,0.43440993428230285,0.9354166666666667,0.9324062070142561,418,31
11,0.3977360019558354,0.9424342105263158,0.4279819389184316,0.9375,0.9347888901173725,419,30
12,0.424029715228499,0.9342105263157895,0.47106111447016397,0.9270833333333334,0.9216029409431002,414,35
13,0.395455083826132,0.9473684210526315,0.48817440470059714,0.9041666666666667,0.8985754573067225,403,46
14,0.40413051739073635,0.9385964912280702,0.46944333910942077,0.9291666666666667,0.9253872748457587,415,34
15,0.40638386209805805,0.9369517543859649,0.422149258852005,0.9479166666666666,0.945139839795501,424,25
16,0.38306316681075514,0.9517543859649122,0.4196741302808126,0.9458333333333333,0.9426684673764756,423,26
17,0.3819877709213056,0.9517543859649122,0.47909804781277976,0.9270833333333334,0.9228070695201934,414,35
18,0.383745448108305,0.9533991228070176,0.7569888591766357,0.8270833333333333,0.8139073953273958,366,83
19,0.4115842089318393,0.9418859649122807,0.5087196489175161,0.8916666666666667,0.8853633367490704,397,52
20,0.3920469357256304,0.9451754385964912,0.39145464499791466,0.9520833333333333,0.9498141657347433,426,23
21,0.3866832658909915,0.950109649122807,0.4597842792669932,0.9229166666666667,0.9198347921662897,412,37
22,0.3705843728885316,0.9605263157894737,0.3988381505012512,0.9583333333333334,0.9560531395063769,429,20
23,0.34776696458197476,0.9725877192982456,0.4569311459859212,0.9354166666666667,0.9321092520668183,418,31
24,0.38317841761990595,0.9588815789473685,0.4784299910068512,0.9229166666666667,0.918920251123641,412,37
25,0.3438240854363692,0.9742324561403509,0.45628318587938943,0.93125,0.927746403069513,416,33
26,0.3512953718503316,0.9703947368421053,0.40479561885197957,0.9520833333333333,0.9494633177142907,426,23
27,0.3504160355057633,0.9703947368421053,0.4339947442213694,0.9291666666666667,0.9250890023291456,415,34
28,0.3563518639196429,0.9671052631578947,0.44258800347646077,0.9354166666666667,0.9318843193843195,418,31
29,0.3364603080247578,0.9769736842105263,0.4888942718505859,0.9125,0.908218013450914,407,42
30,0.35124208372935917,0.9698464912280702,0.4274605453014374,0.95,0.9470866835862681,425,24
31,0.3434686916962005,0.9742324561403509,0.4178179085254669,0.95,0.9471742475787752,425,24
32,0.3247115073496835,0.9830043859649122,0.515432063738505,0.9166666666666666,0.9120584620720901,409,40
33,0.3276797130442502,0.9835526315789473,0.576630179087321,0.89375,0.8878033730974909,398,51
34,0.34748560503909465,0.9742324561403509,0.5117642462253571,0.9083333333333333,0.9030165143124341,405,44
35,0.3322243308811857,0.9808114035087719,0.4096649348735809,0.9583333333333334,0.956132991590917,429,20
36,0.3318930670880435,0.9819078947368421,0.47502494653066,0.93125,0.9277904057286328,416,33
37,0.33068913221359253,0.9824561403508771,0.4175166845321655,0.9541666666666667,0.9514846199647505,427,22
38,0.34705701731798944,0.9736842105263158,0.4109209358692169,0.9604166666666667,0.958152480733126,430,19
39,0.3279363873757814,0.9830043859649122,0.4596722225348155,0.9375,0.9341714727268977,419,30
40,0.32909935974238214,0.9835526315789473,0.43806005915006,0.94375,0.9407814844452961,422,27
41,0.3328155101391307,0.981359649122807,0.4121013402938843,0.95625,0.9539786695075403,428,21
42,0.3274883026616615,0.9835526315789473,0.3924557566642761,0.9604166666666667,0.9582434231296847,430,19
43,0.32608909146827564,0.9857456140350878,0.4616492052872976,0.93125,0.9273039942618161,416,33
44,0.32985967763683255,0.9846491228070176,0.46903845071792605,0.9354166666666667,0.9319832725540009,418,31
45,0.33047897669306975,0.9835526315789473,0.4101738095283508,0.95625,0.9539377394096583,428,21
46,0.31534218369868766,0.9901315789473685,0.3938861052195231,0.9645833333333333,0.9625325467110457,432,17
47,0.34775421023368835,0.9775219298245614,0.44853866696357725,0.9395833333333333,0.9364038749581297,420,29
48,0.3178835736032118,0.9884868421052632,0.47813305457433064,0.9333333333333333,0.9298526227813263,417,32
49,0.3182184596856435,0.9862938596491229,0.4669629077116648,0.9333333333333333,0.9295072029705217,417,32
