Epoch,train_loss,train_acc,test_loss,test_acc,F1_Score
1,1.0405,0.5263,0.9957,0.6625,0.7067
2,0.9085,0.7829,0.8416,0.8792,0.8725
3,0.7937,0.8728,0.6825,0.9354,0.9323
4,0.6737,0.9178,0.5513,0.9437,0.9408
5,0.5693,0.9402,0.4612,0.9521,0.9496
6,0.4896,0.9474,0.4040,0.9563,0.9540
7,0.4385,0.9600,0.3744,0.9646,0.9628
8,0.4146,0.9507,0.3590,0.9667,0.9650
9,0.3785,0.9781,0.3497,0.9708,0.9694
10,0.3674,0.9781,0.3420,0.9812,0.9804
11,0.3596,0.9825,0.3362,0.9812,0.9804
12,0.3722,0.9600,0.3328,0.9833,0.9826
13,0.3501,0.9852,0.3296,0.9833,0.9826
14,0.3455,0.9874,0.3277,0.9833,0.9826
15,0.3437,0.9885,0.3250,0.9833,0.9826
16,0.3539,0.9803,0.3239,0.9854,0.9847
17,0.3303,0.9951,0.3227,0.9875,0.9869
18,0.3454,0.9808,0.3225,0.9854,0.9847
19,0.3490,0.9698,0.3219,0.9854,0.9847
20,0.3422,0.9819,0.3206,0.9875,0.9869
21,0.3256,0.9962,0.3204,0.9875,0.9869
22,0.3231,0.9951,0.3195,0.9896,0.9891
23,0.3259,0.9934,0.3185,0.9896,0.9891
24,0.3296,0.9846,0.3174,0.9896,0.9891
25,0.3237,0.9940,0.3172,0.9896,0.9891
26,0.3281,0.9918,0.3166,0.9896,0.9891
27,0.3346,0.9781,0.3169,0.9896,0.9891
28,0.3269,0.9879,0.3163,0.9896,0.9891
29,0.3140,0.9973,0.3160,0.9896,0.9891
30,0.3298,0.9879,0.3160,0.9875,0.9869
31,0.3185,0.9951,0.3155,0.9896,0.9891
32,0.3305,0.9852,0.3153,0.9896,0.9891
33,0.3161,0.9967,0.3154,0.9896,0.9891
34,0.3287,0.9803,0.3149,0.9917,0.9913
35,0.3281,0.9874,0.3151,0.9896,0.9891
36,0.3152,0.9951,0.3143,0.9917,0.9913
37,0.3127,0.9956,0.3138,0.9917,0.9913
38,0.3162,0.9984,0.3135,0.9917,0.9913
39,0.3265,0.9879,0.3131,0.9917,0.9913
40,0.3135,0.9989,0.3132,0.9917,0.9913
41,0.3222,0.9890,0.3129,0.9917,0.9913
42,0.3228,0.9874,0.3120,0.9917,0.9913
43,0.3143,0.9978,0.3118,0.9917,0.9913
44,0.3266,0.9885,0.3117,0.9917,0.9913
45,0.3118,0.9951,0.3116,0.9917,0.9913
46,0.3112,0.9973,0.3120,0.9917,0.9913
47,0.3145,0.9956,0.3122,0.9896,0.9891
48,0.3131,0.9978,0.3121,0.9896,0.9891
49,0.3127,0.9989,0.3124,0.9917,0.9913
50,0.3096,0.9978,0.3121,0.9917,0.9913
